LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,06/17/2015 09:39:00 AM,P15032742,"(35.76304669883162, -78.63148436151596)",SOUTHEAST
40A,Motor Vehicle Theft,06/16/2015 09:29:00 AM,P15032540,"(35.80183349474734, -78.62351114393086)",NORTH
40A,Motor Vehicle Theft,06/15/2015 07:29:00 PM,P15032454,"(35.780570782175744, -78.6189798367391)",SOUTHEAST
40A,Motor Vehicle Theft,06/15/2015 05:32:00 PM,P15032431,"(35.89548221661042, -78.64960137948343)",NORTH
40A,Motor Vehicle Theft,06/15/2015 09:00:00 AM,P15032333,"(35.8320968725413, -78.57909150636596)",NORTHEAST
40A,Motor Vehicle Theft,06/15/2015 08:45:00 AM,P15032328,"(35.872026031000075, -78.65023532399995)",NORTH
40A,Motor Vehicle Theft,06/14/2015 11:55:00 PM,P15032293,"(35.785403111475425, -78.58357273540727)",SOUTHEAST
40A,Motor Vehicle Theft,06/13/2015 02:28:00 PM,P15032051,"(35.88266128339837, -78.57432975755023)",NORTHEAST
40A,Motor Vehicle Theft,06/13/2015 09:26:00 AM,P15032005,"(35.79525786842744, -78.61187593578298)",SOUTHEAST
40A,Motor Vehicle Theft,06/12/2015 07:59:00 AM,P15031768,"(35.82325507508812, -78.59207948907044)",NORTH
40A,Motor Vehicle Theft,06/12/2015 07:55:00 AM,P15031770,"(35.83255913600004, -78.563919609)",NORTHEAST
40A,Motor Vehicle Theft,06/12/2015 01:01:00 AM,P15031743,"(35.82322153772801, -78.58847348790928)",NORTH
40A,Motor Vehicle Theft,06/11/2015 08:39:00 AM,P15031549,"(35.8173675889179, -78.5950963034314)",NORTH
40A,Motor Vehicle Theft,06/10/2015 06:13:00 PM,P15031447,"(35.72583608459868, -78.58026972349806)",SOUTHEAST
40A,Motor Vehicle Theft,06/10/2015 06:31:00 AM,P15031295,"(35.7426851765396, -78.59552064466075)",SOUTHEAST
40A,Motor Vehicle Theft,06/09/2015 11:15:00 AM,P15031109,"(35.824445509715595, -78.60080004304051)",NORTH
40A,Motor Vehicle Theft,06/08/2015 02:15:00 PM,P15030941,"(35.83235777440288, -78.58505630508446)",NORTH
40A,Motor Vehicle Theft,06/08/2015 07:14:00 AM,P15030855,"(35.858124228986654, -78.60695013359472)",NORTH
40A,Motor Vehicle Theft,06/07/2015 09:39:00 PM,P15030807,"(35.824436924485845, -78.5871571797644)",NORTH
40A,Motor Vehicle Theft,06/07/2015 07:22:00 PM,P15030782,"(35.79416335429824, -78.67125759865118)",SOUTWEST
40A,Motor Vehicle Theft,06/07/2015 06:53:00 PM,P15030773,"(35.833793607050886, -78.56055984684662)",NORTHEAST
40A,Motor Vehicle Theft,06/07/2015 05:26:00 PM,P15030755,"(35.85770977611185, -78.66637529565489)",NORTH
11,Homicide/Murder-Nonnegligent Manslaughter,06/06/2015 10:56:00 PM,P15030614,"(35.77922658343034, -78.68466699584563)",SOUTWEST
40A,Motor Vehicle Theft,06/06/2015 11:22:00 AM,P15030483,"(35.87438217700003, -78.65660460299995)",NORTH
40A,Motor Vehicle Theft,06/06/2015 07:01:00 AM,P15030461,"(35.81846248397722, -78.60102824261631)",NORTH
40A,Motor Vehicle Theft,06/06/2015 01:02:00 AM,P15030431,"(35.857991452112884, -78.59693982175145)",NORTH
40A,Motor Vehicle Theft,06/05/2015 07:24:00 PM,P15030375,"(35.730851031236305, -78.56144568124456)",SOUTHEAST
40A,Motor Vehicle Theft,06/05/2015 06:32:00 PM,P15030365,"(35.759699754909626, -78.72750907124811)",SOUTWEST
40A,Motor Vehicle Theft,06/05/2015 06:09:00 PM,P15030374,"(35.84747948245213, -78.6755315376184)",NORTH
40A,Motor Vehicle Theft,06/05/2015 12:34:00 PM,P15030270,"(35.89452033592295, -78.75584844004884)",NORTHWEST
40A,Motor Vehicle Theft,06/05/2015 07:07:00 AM,P15030225,"(35.79343069500004, -78.55236030599997)",SOUTHEAST
40A,Motor Vehicle Theft,06/05/2015 01:35:00 AM,P15030203,"(35.77258770407226, -78.62532839483588)",SOUTHEAST
40A,Motor Vehicle Theft,06/04/2015 12:51:00 AM,P15029993,"(35.76778702620244, -78.63795251737346)",
40A,Motor Vehicle Theft,06/03/2015 09:37:00 PM,P15029951,"(35.76457065000005, -78.63729313099998)",DOWNTOWN
40A,Motor Vehicle Theft,06/03/2015 04:47:00 PM,P15029886,"(35.79291902799489, -78.6608107142929)",SOUTWEST
40A,Motor Vehicle Theft,06/03/2015 12:52:00 PM,P15029802,"(35.862423764527065, -78.62885764459254)",NORTH
40A,Motor Vehicle Theft,06/02/2015 09:12:00 PM,P15029688,"(35.779088604880826, -78.63818292507897)",DOWNTOWN
40A,Motor Vehicle Theft,06/02/2015 06:10:00 PM,P15029665,"(35.83719918378802, -78.6148250073226)",NORTH
40A,Motor Vehicle Theft,06/02/2015 02:43:00 PM,P15029623,"(35.87137073112769, -78.58307851416929)",NORTH
40A,Motor Vehicle Theft,06/02/2015 02:05:00 PM,P15029616,"(35.74179916133544, -78.60781073054152)",SOUTHEAST
40A,Motor Vehicle Theft,06/02/2015 09:17:00 AM,P15029554,"(35.75835124796928, -78.58467246210385)",SOUTHEAST
40A,Motor Vehicle Theft,06/01/2015 03:02:00 PM,P15029405,"(35.78184728700006, -78.68916864899995)",SOUTWEST
40A,Motor Vehicle Theft,06/01/2015 01:35:00 PM,P15029383,"(35.77377190064523, -78.64374081162958)",SOUTHEAST
40A,Motor Vehicle Theft,06/01/2015 08:01:00 AM,P15029333,"(35.818430249166, -78.57753087304718)",NORTHEAST
11,Homicide/Murder-Nonnegligent Manslaughter,06/01/2015 03:45:00 AM,P15029302,"(35.83333203696286, -78.61062737561348)",NORTH
40A,Motor Vehicle Theft,05/31/2015 08:38:00 PM,P15029267,"(35.76729627161761, -78.55580859960389)",SOUTHEAST
40A,Motor Vehicle Theft,05/30/2015 04:39:00 PM,P15029065,"(35.74977393803512, -78.63144862542853)",SOUTHEAST
40A,Motor Vehicle Theft,05/29/2015 02:47:00 PM,P15028829,"(35.77876898308674, -78.68388565317478)",SOUTWEST
40A,Motor Vehicle Theft,05/29/2015 12:07:00 PM,P15028791,"(35.7710908900712, -78.64630190725005)",DOWNTOWN
40A,Motor Vehicle Theft,05/29/2015 07:00:00 AM,P15028739,"(35.77433808480444, -78.69288513547255)",SOUTWEST
40A,Motor Vehicle Theft,05/28/2015 11:00:00 PM,P15028700,"(35.77773350600006, -78.73698255999994)",SOUTWEST
40A,Motor Vehicle Theft,05/28/2015 08:49:00 PM,P15028678,"(35.90566934700207, -78.60229060348776)",NORTHEAST
40A,Motor Vehicle Theft,05/28/2015 08:02:00 PM,P15028666,"(35.787646570763194, -78.58806244582428)",SOUTHEAST
40A,Motor Vehicle Theft,05/28/2015 05:57:00 PM,P15028639,"(35.83577396778019, -78.59680303868568)",NORTH
40A,Motor Vehicle Theft,05/28/2015 04:48:00 PM,P15028622,"(35.77377249965471, -78.6901094240742)",SOUTWEST
40A,Motor Vehicle Theft,05/28/2015 11:25:00 AM,P15028535,"(35.73054215784011, -78.65119143810702)",SOUTWEST
40A,Motor Vehicle Theft,05/28/2015 09:04:00 AM,P15028518,"(35.733781483820444, -78.64954682323118)",DOWNTOWN
40A,Motor Vehicle Theft,05/27/2015 10:05:00 AM,P15028341,"(35.8530697964402, -78.60774543192859)",NORTH
40A,Motor Vehicle Theft,05/27/2015 08:07:00 AM,P15028312,"(35.8452043638563, -78.57539302206627)",NORTHEAST
40A,Motor Vehicle Theft,05/26/2015 09:05:00 AM,P15028118,"(35.81593902735644, -78.68753832430009)",SOUTWEST
40A,Motor Vehicle Theft,05/25/2015 11:17:00 PM,P15028073,"(35.77657985508969, -78.64355807199526)",DOWNTOWN
